Timestamp,pie,servedWith,other
2/12/2019 15:18:32,pecan pie,Whipped cream,
2/12/2019 15:25:41,Key Lime,"Nothing, just pie",
2/13/2019 16:25:55,Strawberry rhubarb,Ice cream,
2/13/2019 16:26:24,Apple,Ice cream,
2/14/2019 13:07:48,Apple,Ice cream,
2/22/2019 14:04:23,Sour Cherry,Ice cream,
2/22/2019 14:04:46,Rhubarb,Ice cream,
2/22/2019 14:05:21,Pizza,Whipped cream,
2/22/2019 14:06:39,Lemon Meringue,Whipped cream,
2/22/2019 14:12:16,apple,Ice cream,
2/22/2019 14:13:16,peach,Whipped cream,
2/22/2019 14:14:37,Pecan,Whipped cream,
2/22/2019 14:24:59,Blueberry,"Nothing, just pie",
2/22/2019 14:28:31,apple,Ice cream,
2/22/2019 14:38:31,Chocolate Cream ,Ice cream,
2/22/2019 14:39:23,cherry,Whipped cream,"what else is there besides whipped cream, don't be ridiculous"
2/22/2019 14:44:21,apple,Ice cream,good cup of coffee or loose leaves tea
2/22/2019 14:48:22,Pecan,Whipped cream,
2/22/2019 14:49:52,Strawberry Rhubarb,Other:,It depends on the pie.
2/22/2019 14:53:46,Mud Pie,Ice cream,
2/22/2019 14:56:47,pecan,Other:,grappa
2/22/2019 14:59:35,banoffee,Ice cream,
2/22/2019 15:02:44,Strawberry Rhubarb,Ice cream,
2/22/2019 15:25:28,Pumpkin,Whipped cream,
2/22/2019 15:36:44,apple,Other:,pie needs to be served hot
2/22/2019 15:51:57,Pumpkin,Whipped cream,
2/22/2019 16:48:43,Peach Raspberry Pie,Other:,"Ice cream if it's summertime, whipped cream if it's winter"
2/22/2019 19:09:55,pUmPkiN PIE,Other:,Cool whip
2/23/2019 1:45:37,Apple,Ice cream,
2/23/2019 1:45:58,Sour cherry ,Ice cream,
2/23/2019 11:48:29,pecan,"Nothing, just pie",
2/23/2019 12:41:49,strawberry-rhubarb,Other:,plain yogurt
2/24/2019 16:30:52,"any, honestly",Ice cream,
2/24/2019 19:17:30,Tomato,Cheese,
2/25/2019 9:02:33,Apple,Whipped cream,
2/25/2019 9:27:35,Sweet Potato,Whipped cream,
2/25/2019 9:28:39,Blueberry,Ice cream,
2/25/2019 9:29:00,Cherry,Ice cream,
2/25/2019 9:33:20,Chocolate snow ghost pie,Whipped cream,
2/25/2019 9:37:42,pumpkin,Whipped cream,
2/25/2019 10:34:38,Pecan,Ice cream,
2/25/2019 11:41:58,Key Lime,Whipped cream,
2/25/2019 14:29:33,Pecan,Ice cream,
2/26/2019 8:25:27,Pumpkin crumble or apple,Other:,It depends - apple pie insinuates vanilla ice cream. Pumpkin should have cinnamon whipped cream. Blueberry; maybe a lemon glaze. And so on.
2/26/2019 11:11:56,Shepherds,Other:,Ketchup
2/26/2019 11:12:58,Pecan,Other:,Bourbon
2/26/2019 11:13:36,Peppermint ice cream,Ice cream,
3/4/2019 11:04:35,Pizza. IS DEFINITELY A WONDERFUL TYPE OF PIE,"Nothing, just pie",
3/4/2019 11:56:45,Chocolate,Ice cream,
3/4/2019 12:59:45,banana cream,"Nothing, just pie",
